Date,Open,High,Low,Close,Volume
1998-01-02,104.5,105.75,104.06,105.75,2563200
1998-01-05,105.56,106.81,105.0,106.25,4938700
1998-01-06,105.38,107.19,105.25,105.63,3499200
1998-01-07,105.0,105.0,102.63,104.25,4380600
1998-01-08,103.5,105.5,102.94,104.38,3947900
1998-01-09,104.31,104.88,99.38,100.06,7128400
1998-01-12,98.25,101.13,97.13,99.94,6291400
1998-01-13,100.56,102.44,100.31,102.06,3338400
1998-01-14,103.5,104.0,101.25,102.75,4145100
1998-01-15,103.19,104.94,102.38,103.5,6251300
1998-01-16,104.88,105.19,104.5,105.06,3935900
1998-01-20,105.19,108.13,104.69,107.63,4915900
1998-01-21,100.25,102.0,99.63,100.06,13909100
1998-01-22,99.81,100.63,98.5,99.19,6571600
1998-01-23,99.81,100.0,98.94,99.06,3874200
1998-01-26,99.25,99.94,98.0,98.06,2711000
1998-01-27,96.75,97.88,95.63,96.56,6923300
1998-01-28,97.13,98.0,96.5,96.94,5294800
1998-01-29,97.0,99.38,97.0,98.19,4366900
1998-01-30,98.31,99.56,98.0,98.75,2756100
1998-02-02,100.0,101.25,100.0,100.38,3391400
1998-02-03,100.13,100.25,98.69,99.13,3491600
1998-02-04,99.13,99.81,98.06,98.25,4322700
1998-02-05,99.13,99.5,98.38,99.25,3737700
1998-02-06,99.13,99.63,97.13,98.06,3983100
1998-02-09,98.13,99.63,98.06,98.06,3405300
1998-02-10,98.06,102.5,97.5,100.81,8139200
1998-02-11,101.63,103.25,101.5,102.56,4148000
1998-02-12,101.88,103.25,101.56,102.94,3372800
1998-02-13,102.69,103.63,102.38,102.63,2170700
1998-02-17,103.06,103.69,101.5,101.75,3710800
1998-02-18,102.0,103.63,101.31,102.75,3290800
1998-02-19,103.0,104.63,101.69,102.75,4220300
1998-02-20,103.0,103.44,101.0,102.75,3594700
1998-02-23,103.44,103.94,102.81,102.88,2635600
1998-02-24,102.63,102.88,101.75,102.56,2550300
1998-02-25,102.56,105.19,102.5,105.19,3824800
1998-02-26,104.75,105.88,104.25,105.5,3181100
1998-02-27,104.81,105.63,103.88,104.38,2869800
1998-03-02,104.19,104.56,100.0,101.88,3464300
1998-03-03,100.0,102.5,99.06,102.19,3898400
1998-03-04,102.0,103.31,101.75,102.06,2970600
1998-03-05,100.19,100.38,98.31,99.0,5388500
1998-03-06,99.13,99.81,98.25,98.38,5076700
1998-03-09,97.13,98.25,95.88,96.0,6357600
1998-03-10,97.38,98.19,96.69,97.56,4104500
1998-03-11,97.88,99.88,97.44,99.13,3309300
1998-03-12,99.19,100.63,98.19,100.25,2998300
1998-03-13,100.88,101.19,99.0,99.69,2791900
1998-03-16,99.69,101.38,99.25,101.19,3289600
1998-03-17,101.31,101.81,99.56,100.75,3575900
1998-03-18,100.63,102.31,100.56,101.56,3530800
1998-03-19,101.69,103.0,101.44,102.88,2533700
1998-03-20,103.0,103.25,101.44,102.19,3813100
1998-03-23,101.56,103.38,101.5,101.5,3182600
1998-03-24,102.25,103.69,102.13,103.5,2366800
1998-03-25,105.0,109.31,104.88,106.06,6690700
1998-03-26,105.88,106.63,105.0,105.06,2751200
1998-03-27,105.25,106.25,103.88,104.19,2788800
1998-03-30,104.13,104.88,102.5,103.19,1889800
1998-03-31,104.0,104.94,103.38,103.94,2336300
1998-04-01,103.88,104.88,103.31,104.44,2632500
1998-04-02,104.31,106.69,104.0,105.88,3546000
1998-04-03,105.63,106.38,103.94,104.63,3025400
1998-04-06,106.25,106.5,105.0,106.06,3636900
1998-04-07,105.75,105.81,103.5,104.63,2725200
1998-04-08,104.75,109.63,103.75,104.56,2644300
1998-04-09,105.63,106.5,105.31,106.13,2981100
1998-04-13,106.56,107.81,104.31,104.38,4064000
1998-04-14,105.0,106.25,104.63,106.13,2293400
1998-04-15,107.0,109.81,106.5,109.75,4482700
1998-04-16,109.38,110.0,107.63,107.81,3334300
1998-04-17,107.44,107.94,106.5,107.88,2896200
1998-04-20,107.94,110.5,107.19,109.56,4849300
1998-04-21,114.0,118.5,113.63,118.0,12494600
1998-04-22,118.0,120.0,114.63,114.69,6567000
1998-04-23,114.5,117.63,114.13,117.38,4792400
1998-04-24,116.75,117.94,112.0,117.31,3886400
1998-04-27,116.25,116.63,114.38,115.25,4197600
1998-04-28,116.13,119.0,115.31,115.81,5281300
1998-04-29,115.69,116.88,114.63,115.44,3331800
1998-04-30,116.06,117.44,115.5,115.88,3416500
1998-05-01,115.94,117.38,115.5,116.94,2441100
1998-05-04,117.13,118.88,116.69,116.75,2605000
1998-05-05,116.69,118.25,116.69,117.75,2628200
1998-05-06,118.0,118.94,117.44,117.63,3188200
1998-05-07,117.5,117.75,116.13,117.13,2574100
1998-05-08,116.94,120.0,116.88,119.94,3716100
1998-05-11,120.19,122.75,118.31,119.31,4690300
1998-05-12,118.25,120.0,117.31,119.56,3738100
1998-05-13,120.25,122.25,120.13,121.06,3914300
1998-05-14,123.38,129.31,120.5,125.88,10569800
1998-05-15,125.63,127.75,124.13,124.88,5448700
1998-05-18,124.75,125.75,123.44,124.56,3513100
1998-05-19,125.63,127.0,124.75,124.94,3213700
1998-05-20,125.25,125.81,122.38,123.56,2966600
1998-05-21,123.5,124.19,121.94,123.56,2885400
1998-05-22,123.63,123.63,121.13,121.88,1970400
1998-05-26,122.38,123.0,121.13,121.13,3389000
1998-05-27,119.31,121.5,118.56,120.31,4911000
1998-05-28,120.25,121.63,119.81,120.13,2906700
1998-05-29,120.56,121.0,117.75,117.88,2669600
1998-06-01,117.38,118.31,114.63,115.44,3534500
1998-06-02,117.19,117.69,114.81,115.56,3792900
1998-06-03,116.0,117.25,113.88,113.94,2885100
1998-06-04,114.25,116.19,114.25,116.0,3003600
1998-06-05,116.75,119.0,116.5,118.94,4120400
1998-06-08,118.75,120.0,118.38,118.88,1837500
1998-06-09,119.0,119.56,117.81,119.13,1811600
1998-06-10,118.75,119.63,116.88,117.38,3173100
1998-06-11,117.5,118.06,115.75,115.75,2627400
1998-06-12,115.88,116.81,114.0,116.0,4044600
1998-06-15,114.63,115.44,112.13,112.31,4087600
1998-06-16,111.88,111.88,107.13,110.06,8878900
1998-06-17,111.0,112.19,110.06,110.75,5616400
1998-06-18,109.0,109.13,107.63,108.81,4214800
1998-06-19,108.75,109.25,106.06,106.69,3905200
1998-06-22,106.25,109.5,106.19,108.19,4113100
1998-06-23,110.0,112.31,109.94,111.75,3954900
