Date,Open,High,Low,Close,Volume
1998-01-02,97.31,97.53,96.53,97.36,2150000
1998-01-05,97.84,98.44,96.78,97.75,4030800
1998-01-06,97.25,97.28,96.19,96.63,2821800
1998-01-07,96.09,96.5,95.22,96.47,5225400
1998-01-08,96.31,96.31,95.5,95.78,3249100
1998-01-09,95.25,95.5,91.91,92.47,10000200
1998-01-12,91.13,94.19,90.91,94.06,11953200
1998-01-13,94.63,95.63,94.22,95.22,5006400
1998-01-14,95.69,95.97,94.72,95.81,3738000
1998-01-15,95.5,95.75,94.81,94.94,2726400
1998-01-16,96.25,96.69,95.66,96.23,4185400
1998-01-20,96.69,98.0,96.5,98.0,4373400
1998-01-21,97.22,97.69,96.16,97.16,4526300
1998-01-22,96.16,96.88,95.88,96.3,4484300
1998-01-23,96.5,96.78,95.0,95.66,6231300
1998-01-26,96.38,96.73,93.75,95.75,4280800
1998-01-27,95.81,98.0,95.66,97.0,6639000
1998-01-28,97.41,98.11,97.17,97.88,4089900
1998-01-29,97.84,99.56,97.56,98.75,7706300
1998-01-30,98.78,98.97,98.0,98.31,3333000
1998-02-02,99.91,100.5,99.75,100.25,5587200
1998-02-03,100.0,100.81,99.72,100.69,2656800
1998-02-04,100.28,101.16,99.88,100.59,3283800
1998-02-05,101.31,101.59,100.03,100.38,4970800
1998-02-06,101.0,101.5,100.69,101.28,5531800
1998-02-09,101.72,101.75,100.72,101.14,2277100
1998-02-10,101.44,102.47,101.19,102.05,3624500
1998-02-11,102.09,103.19,101.7,102.13,4020500
1998-02-12,101.72,102.94,100.88,102.66,5102800
1998-02-13,102.19,102.94,101.88,102.16,1889500
1998-02-17,102.81,103.09,102.16,102.34,2945300
1998-02-18,102.31,103.47,102.28,103.41,2919600
1998-02-19,103.25,103.41,102.75,103.0,3330600
1998-02-20,103.08,103.75,102.38,103.56,3594700
1998-02-23,104.25,104.25,103.34,104.0,3131700
1998-02-24,103.91,104.09,102.94,103.19,3241700
1998-02-25,103.75,104.88,103.63,104.48,3348400
1998-02-26,104.44,105.16,104.19,105.06,3604100
1998-02-27,104.97,105.53,104.31,105.2,3335400
1998-03-02,105.25,105.75,104.63,104.81,4126000
1998-03-03,104.53,105.47,104.5,105.41,3177500
1998-03-04,105.09,105.41,104.06,104.97,4395900
1998-03-05,103.5,104.44,103.16,103.75,7153500
1998-03-06,104.56,105.88,104.44,105.75,6702600
1998-03-09,105.53,106.22,105.25,105.44,3282800
1998-03-10,106.22,106.84,105.38,106.66,5582900
